slug	rank	date	genre	artist	album	year
Fever Ray - Plunge	9	October 27, 2017	Electropop	Fever Ray	Plunge	2017
Tyler, the Creator - Flower Boy	8	July 21, 2017	Experimental Hip Hop	Tyler, the Creator	Flower Boy	2017
Vince Staples - Big Fish Theory	7	June 23, 2017	Hip Hop	Vince Staples	Big Fish Theory	2017
Moses Sumney - Aromanticism	6	September 22, 2017	Art Pop	Moses Sumney	Aromanticism	2017
Lorde - Melodrama	5	June 16, 2017	Art Pop	Lorde	Melodrama	2017
Kelela - Take Me Apart	4	October 6, 2017	Alternative R&B	Kelela	Take Me Apart	2017
King Krule - The OOZ	3	October 13, 2017	Art Rock	King Krule	The OOZ	2017
SZA - Ctrl	2	June 9, 2017	Alternative R&B	SZA	Ctrl	2017
Kendrick Lamar - DAMN.	1	April 14, 2017	Hip Hop	Kendrick Lamar	DAMN.	2017
SOB X RBE - Gangin	50	February 23, 2018	Hip Hop	SOB X RBE	Gangin	2018.htm
Georgia Anne Muldrow - Overload	49	October 26, 2018	Neo-Soul	Georgia Anne Muldrow	Overload	2018.htm
Kamasi Washington - Heaven and Earth	48	June 22, 2018	Jazz Fusion	Kamasi Washington	Heaven and Earth	2018.htm
Skee Mask - Compro	47	May 15, 2018	Ambient Techno	Skee Mask	Compro	2018.htm
Blood Orange - Negro Swan	46	August 24, 2018	Alternative R&B	Blood Orange	Negro Swan	2018.htm
Cat Power - Wanderer	45	October 5, 2018	Singer-Songwriter	Cat Power	Wanderer	2018.htm
Camp Cope - How to Socialise & Make Friends	44	March 2, 2018	Indie Rock	Camp Cope	How to Socialise & Make Friends	2018.htm
Sleep - The Sciences	43	April 20, 2018	Stoner Metal	Sleep	The Sciences	2018.htm
Adrianne Lenker - abysskiss	42	October 5, 2018	Indie Folk	Adrianne Lenker	abysskiss	2018.htm
Jeremih & Ty Dolla $ign - Mih-Ty	41	October 26, 2018	R&B	Jeremih & Ty Dolla $ign	Mih-Ty	2018.htm
Iceage - Beyondless	40	May 4, 2018	Post-Punk	Iceage	Beyondless	2018.htm
The Internet - Hive Mind	39	July 20, 2018	Neo-Soul	The Internet	Hive Mind	2018.htm
Kali Uchis - Isolation	38	April 6, 2018	Neo-Soul	Kali Uchis	Isolation	2018.htm
JPEGMAFIA - Veteran	37	January 19, 2018	Experimental Hip Hop	JPEGMAFIA	Veteran	2018.htm
Rico Nasty - Nasty	36	June 15, 2018	Trap Rap	Rico Nasty	Nasty	2018.htm
A.A.L. (Against All Logic) - 2012 - 2017	35	February 17, 2018	Deep House	A.A.L. (Against All Logic)	2012	2018.htm
Neneh Cherry - Broken Politics	34	October 19, 2018	Art Pop	Neneh Cherry	Broken Politics	2018.htm
Sheck Wes - MUDBOY	33	October 5, 2018	Trap Rap	Sheck Wes	MUDBOY	2018.htm
Let's Eat Grandma - I'm All Ears	32	June 29, 2018	Art Pop	Let's Eat Grandma	I'm All Ears	2018.htm
Arctic Monkeys - Tranquility Base Hotel & Casino	31	May 11, 2018	Psychedelic Pop	Arctic Monkeys	Tranquility Base Hotel & Casino	2018.htm
Christine and the Queens - Chris	30	September 21, 2018	Synthpop	Christine and the Queens	Chris	2018.htm
boygenius - boygenius EP	29	October 26, 2018	Indie Folk	boygenius	boygenius EP	2018.htm
Deafheaven - Ordinary Corrupt Human Love	28	July 13, 2018	Blackgaze	Deafheaven	Ordinary Corrupt Human Love	2018.htm
Soccer Mommy - Clean	27	March 2, 2018	Indie Pop	Soccer Mommy	Clean	2018.htm
Vince Staples - FM!	26	November 2, 2018	Hip Hop	Vince Staples	FM!	2018.htm
Playboi Carti - Die Lit	25	May 11, 2018	Trap Rap	Playboi Carti	Die Lit	2018.htm
Julia Holter - Aviary	24	October 26, 2018	Progressive Pop	Julia Holter	Aviary	2018.htm
Travis Scott - ASTROWORLD	23	August 3, 2018	Trap Rap	Travis Scott	ASTROWORLD	2018.htm
U.S. Girls - In a Poem Unlimited	22	February 16, 2018	Neo-Psychedelia	U.S. Girls	In a Poem Unlimited	2018.htm
The 1975 - A Brief Inquiry Into Online Relationships	21	November 30, 2018	Art Pop	The 1975	A Brief Inquiry Into Online Relationships	2018.htm
Beach House - 7	20	May 11, 2018	Dream Pop	Beach House	7	2018.htm
Cardi B - Invasion of Privacy	19	April 6, 2018	Trap Rap	Cardi B	Invasion of Privacy	2018.htm
SOPHIE - OIL OF EVERY PEARL'S UN-INSIDES	18	June 15, 2018	Post-Industrial	SOPHIE	OIL OF EVERY PEARL'S UN-INSIDES	2018.htm
Pusha T - Daytona	17	May 25, 2018	Hip Hop	Pusha T	Daytona	2018.htm
Jon Hopkins - Singularity	16	May 4, 2018	Microhouse	Jon Hopkins	Singularity	2018.htm
Noname - Room 25	15	September 14, 2018	Hip Hop	Noname	Room 25	2018.htm
Amen Dunes - Freedom	14	March 30, 2018	Neo-Psychedelia	Amen Dunes	Freedom	2018.htm
Tirzah - Devotion	13	August 10, 2018	Art Pop	Tirzah	Devotion	2018.htm
cupcakKe - Ephorize	12	January 5, 2018	Trap Rap	cupcakKe	Ephorize	2018.htm
Ariana Grande - Sweetener	11	August 17, 2018	R&B	Ariana Grande	Sweetener	2018.htm
Yves Tumor - Safe in the Hands of Love	10	September 5, 2018	Post-Industrial	Yves Tumor	Safe in the Hands of Love	2018.htm
Tierra Whack - Whack World	9	May 30, 2018	Pop Rap	Tierra Whack	Whack World	2018.htm
Low - Double Negative	8	September 14, 2018	Ambient Pop	Low	Double Negative	2018.htm
Earl Sweatshirt - Some Rap Songs	7	November 30, 2018	Experimental Hip Hop	Earl Sweatshirt	Some Rap Songs	2018.htm
Rosalía - El Mal Querer	6	November 2, 2018	Art Pop	Rosalía	El Mal Querer	2018.htm
Snail Mail - Lush	5	June 8, 2018	Indie Rock	Snail Mail	Lush	2018.htm
Robyn - Honey	4	October 26, 2018	Electropop	Robyn	Honey	2018.htm
DJ Koze - Knock Knock	3	May 4, 2018	Deep House	DJ Koze	Knock Knock	2018.htm
Kacey Musgraves - Golden Hour	2	March 30, 2018	Country Pop	Kacey Musgraves	Golden Hour	2018.htm
Mitski - Be the Cowboy	1	August 17, 2018	Indie Rock	Mitski	Be the Cowboy	2018.htm
